Icon glyphs present in Cozette v1.30.0 (from the released cozette.bdf cmap).
Names come from the Nerd Fonts glyphnames.json; a codepoint with several
names lists them all. Grouped by family, sorted by codepoint.

582 icons (482 named, 100 unnamed) out of 6046 glyphs in the font.

Use in sdn-config.yaml as a YAML escape, e.g.  "\uE73C"

== Font Awesome  (166) ======================================

  U+0F1C1    \uF1C1      fa-file_pdf, fa-file_pdf_o
  U+0F1C2    \uF1C2      fa-file_word, fa-file_word_o
  U+0F1C3    \uF1C3      fa-file_excel, fa-file_excel_o
  U+0F1C4    \uF1C4      fa-file_powerpoint, fa-file_powerpoint_o
  U+0F1C5    \uF1C5      fa-file_image, fa-file_image_o, fa-file_photo_o, fa-file_picture_o
  U+0F1C6    \uF1C6      fa-file_archive_o, fa-file_zip_o, fa-file_zipper
  U+0F1D3    \uF1D3      fa-git
  U+0F1EA    \uF1EA      fa-newspaper, fa-newspaper_o
  U+0F1EB    \uF1EB      fa-wifi
  U+0F1F6    \uF1F6      fa-bell_slash
  U+0F1F7    \uF1F7      fa-bell_slash_o
  U+0F1F8    \uF1F8      fa-trash
  U+0F1FA    \uF1FA      fa-at
  U+0F1FE    \uF1FE      fa-area_chart, fa-chart_area
  U+0F200    \uF200      fa-chart_pie, fa-pie_chart
  U+0F201    \uF201      fa-chart_line, fa-line_chart
  U+0F219    \uF219      fa-gem
  U+0F233    \uF233      fa-server
  U+0F240    \uF240      fa-battery, fa-battery_4, fa-battery_full
  U+0F241    \uF241      fa-battery_3, fa-battery_three_quarters
  U+0F242    \uF242      fa-battery_2, fa-battery_half
  U+0F243    \uF243      fa-battery_1, fa-battery_quarter
  U+0F244    \uF244      fa-battery_0, fa-battery_empty
  U+0F250    \uF250      fa-hourglass_o
  U+0F251    \uF251      fa-hourglass_1, fa-hourglass_start
  U+0F252    \uF252      fa-hourglass_2, fa-hourglass_half
  U+0F253    \uF253      fa-hourglass_3, fa-hourglass_end
  U+0F254    \uF254      fa-hourglass
  U+0F260    \uF260      fa-gg
  U+0F268    \uF268      fa-chrome
  U+0F269    \uF269      fa-firefox
  U+0F26A    \uF26A      fa-opera
  U+0F270    \uF270      fa-amazon
  U+0F292    \uF292      fa-hashtag
  U+0F293    \uF293      fa-bluetooth
  U+0F294    \uF294      fa-bluetooth_b
  U+0F296    \uF296      fa-gitlab
  U+0F298    \uF298      fa-wpforms
  U+0F2C7    \uF2C7      fa-temperature_full, fa-thermometer, fa-thermometer_4, fa-thermometer_full
  U+0F2C8    \uF2C8      fa-temperature_three_quarters, fa-thermometer_3, fa-thermometer_three_quarters
  U+0F2C9    \uF2C9      fa-temperature_half, fa-thermometer_2, fa-thermometer_half
  U+0F2CA    \uF2CA      fa-temperature_quarter, fa-thermometer_1, fa-thermometer_quarter
  U+0F2CB    \uF2CB      fa-temperature_empty, fa-thermometer_0, fa-thermometer_empty
  U+0F2DB    \uF2DB      fa-microchip
  U+0F2DC    \uF2DC      fa-snowflake, fa-snowflake_o

== Material Design  (73) ===================================

  U+F0002  󰀂  \U000F0002  md-access_point_network
  U+F004C  󰁌  \U000F004C  md-arrow_expand_all
  U+F006F  󰁯  \U000F006F  md-backup_restore
  U+F0079  󰁹  \U000F0079  md-battery
  U+F007A  󰁺  \U000F007A  md-battery_10
  U+F007B  󰁻  \U000F007B  md-battery_20
  U+F007C  󰁼  \U000F007C  md-battery_30
  U+F007D  󰁽  \U000F007D  md-battery_40
  U+F007E  󰁾  \U000F007E  md-battery_50
  U+F007F  󰁿  \U000F007F  md-battery_60
  U+F0080  󰂀  \U000F0080  md-battery_70
  U+F0081  󰂁  \U000F0081  md-battery_80
  U+F0082  󰂂  \U000F0082  md-battery_90
  U+F0083  󰂃  \U000F0083  md-battery_alert
  U+F0084  󰂄  \U000F0084  md-battery_charging
  U+F0085  󰂅  \U000F0085  md-battery_charging_100
  U+F0086  󰂆  \U000F0086  md-battery_charging_20
  U+F0087  󰂇  \U000F0087  md-battery_charging_30
  U+F0088  󰂈  \U000F0088  md-battery_charging_40
  U+F0089  󰂉  \U000F0089  md-battery_charging_60
  U+F008A  󰂊  \U000F008A  md-battery_charging_80
  U+F008B  󰂋  \U000F008B  md-battery_charging_90
  U+F008C  󰂌  \U000F008C  md-battery_minus_variant
  U+F008D  󰂍  \U000F008D  md-battery_negative
  U+F008E  󰂎  \U000F008E  md-battery_outline
  U+F008F  󰂏  \U000F008F  md-battery_plus_variant
  U+F0090  󰂐  \U000F0090  md-battery_positive
  U+F0091  󰂑  \U000F0091  md-battery_unknown
  U+F009A  󰂚  \U000F009A  md-bell
  U+F009B  󰂛  \U000F009B  md-bell_off
  U+F009C  󰂜  \U000F009C  md-bell_outline
  U+F009D  󰂝  \U000F009D  md-bell_plus
  U+F009E  󰂞  \U000F009E  md-bell_ring
  U+F009F  󰂟  \U000F009F  md-bell_ring_outline
  U+F00A0  󰂠  \U000F00A0  md-bell_sleep
  U+F00C0  󰃀  \U000F00C0  md-bookmark
  U+F00C1  󰃁  \U000F00C1  md-bookmark_check
  U+F00C2  󰃂  \U000F00C2  md-bookmark_music
  U+F00C3  󰃃  \U000F00C3  md-bookmark_outline
  U+F00C4  󰃄  \U000F00C4  md-bookmark_plus_outline
  U+F00C5  󰃅  \U000F00C5  md-bookmark_plus
  U+F00C6  󰃆  \U000F00C6  md-bookmark_remove
  U+F00F0  󰃰  \U000F00F0  md-calendar_clock
  U+F0172  󰅲  \U000F0172  md-code_parentheses
  U+F01A8  󰆨  \U000F01A8  md-cube_send
  U+F01F0  󰇰  \U000F01F0  md-email_outline
  U+F0232  󰈲  \U000F0232  md-filter
  U+F029A  󰊚  \U000F029A  md-gauge
  U+F02A2  󰊢  \U000F02A2  md-git
  U+F02D1  󰋑  \U000F02D1  md-heart
  U+F02D4  󰋔  \U000F02D4  md-heart_broken
